preset_tea=0.01000000
feeperbyte=100
storageprice=10000
executionfeefactor=3
tea=25.00000000
#accounts,int64-totalfee,int64-totalfeeperacc
742,9.37705147,0.01263754
743,9.38968213,0.01263753
744,9.40231279,0.01263752
745,9.41494345,0.01263751
746,9.42757411,0.01263750
747,9.44020477,0.01263749
748,9.45283543,0.01263749
749,9.46546609,0.01263748
750,9.47809675,0.01263747
751,9.49072741,0.01263746
752,9.50335807,0.01263745
753,9.51598873,0.01263744
754,9.52861939,0.01263743
755,9.54125005,0.01263742
756,9.55388071,0.01263741
757,9.56651137,0.01263740
758,9.57914203,0.01263740
759,9.59177269,0.01263739
760,9.60440335,0.01263738
761,9.61703401,0.01263737
762,9.62966467,0.01263736
763,9.64229533,0.01263735
764,9.65492599,0.01263734
765,9.66755665,0.01263733
766,9.68018731,0.01263733
767,9.69281797,0.01263732
768,9.70544863,0.01263731
769,9.71807929,0.01263730
770,9.73070995,0.01263729
771,9.74334061,0.01263728
772,9.75597127,0.01263727
773,9.76860193,0.01263726
774,9.78123259,0.01263726
775,9.79386325,0.01263725
776,9.80649391,0.01263724
777,9.81912457,0.01263723
778,9.83175523,0.01263722
779,9.84438589,0.01263721
780,9.85701655,0.01263721
781,9.86964721,0.01263720
782,9.88227787,0.01263719
783,9.89490853,0.01263718
784,9.90753919,0.01263717
785,9.92016985,0.01263716
786,9.93280051,0.01263716
787,9.94543117,0.01263715
788,9.95806183,0.01263714
789,9.97069249,0.01263713
790,9.98332315,0.01263712
791,9.99595381,0.01263711
792,10.00858447,0.01263711
793,10.02121513,0.01263710
794,10.03384579,0.01263709
795,10.04647645,0.01263708
796,10.05910711,0.01263707
797,10.07173777,0.01263707
798,10.08436843,0.01263706
799,10.09699909,0.01263705
800,10.10962975,0.01263704
801,10.12226041,0.01263703
802,10.13489107,0.01263703
803,10.14752173,0.01263702
804,10.16015239,0.01263701
805,10.17278305,0.01263700
806,10.18541371,0.01263699
807,10.19804437,0.01263699
808,10.21067503,0.01263698
809,10.22330569,0.01263697
810,10.23593635,0.01263696
811,10.24856701,0.01263696
812,10.26119767,0.01263695
813,10.27382833,0.01263694
814,10.28645899,0.01263693
815,10.29908965,0.01263692
816,10.31172031,0.01263692
817,10.32435097,0.01263691
818,10.33698163,0.01263690
819,10.34961229,0.01263689
820,10.36224295,0.01263689
821,10.37487361,0.01263688
822,10.38750427,0.01263687
823,10.40013493,0.01263686
824,10.41276559,0.01263686
825,10.42539625,0.01263685
826,10.43802691,0.01263684
827,10.45065757,0.01263683
828,10.46328823,0.01263683
829,10.47591889,0.01263682
830,10.48854955,0.01263681
831,10.50118021,0.01263680
832,10.51381087,0.01263680
833,10.52644153,0.01263679
834,10.53907219,0.01263678
835,10.55170285,0.01263677
836,10.56433351,0.01263677
837,10.57696417,0.01263676
838,10.58959483,0.01263675
839,10.60222549,0.01263675
840,10.61485615,0.01263674
841,10.62748681,0.01263673
842,10.64011747,0.01263672
843,10.65274813,0.01263672
844,10.66537879,0.01263671
845,10.67800945,0.01263670
846,10.69064011,0.01263670
847,10.70327077,0.01263669
848,10.71590143,0.01263668
849,10.72853209,0.01263667
850,10.74116275,0.01263667
851,10.75379341,0.01263666
852,10.76642407,0.01263665
853,10.77905473,0.01263665
854,10.79168539,0.01263664
855,10.80431605,0.01263663
856,10.81694671,0.01263662
857,10.82957737,0.01263662
858,10.84220803,0.01263661
859,10.85483869,0.01263660
860,10.86746935,0.01263660
861,10.88010001,0.01263659
862,10.89273067,0.01263658
863,10.90536133,0.01263658
864,10.91799199,0.01263657
865,10.93062265,0.01263656
866,10.94325331,0.01263656
867,10.95588397,0.01263655
868,10.96851463,0.01263654
869,10.98114529,0.01263654
870,10.99377595,0.01263653
871,11.00640661,0.01263652
872,11.01903727,0.01263652
873,11.03166793,0.01263651
874,11.04429859,0.01263650
875,11.05692925,0.01263650
876,11.06955991,0.01263649
877,11.08219057,0.01263648
878,11.09482123,0.01263648
879,11.10745189,0.01263647
880,11.12008255,0.01263646
881,11.13271321,0.01263646
882,11.14534387,0.01263645
883,11.15797453,0.01263644
884,11.17060519,0.01263644
885,11.18323585,0.01263643
886,11.19586651,0.01263642
887,11.20849717,0.01263642
888,11.22112783,0.01263641
889,11.23375849,0.01263640
890,11.24638915,0.01263640
891,11.25901981,0.01263639
892,11.27165047,0.01263638
893,11.28428113,0.01263638
894,11.29691179,0.01263637
895,11.30954245,0.01263637
896,11.32217311,0.01263636
897,11.33480377,0.01263635
898,11.34743443,0.01263635
899,11.36006509,0.01263634
900,11.37269575,0.01263633
901,11.38532641,0.01263633
902,11.39795707,0.01263632
903,11.41058773,0.01263631
904,11.42321839,0.01263631
905,11.43584905,0.01263630
906,11.44847971,0.01263630
907,11.46111037,0.01263629
908,11.47374103,0.01263628
909,11.48637169,0.01263628
910,11.49900235,0.01263627
911,11.51163301,0.01263627
912,11.52426367,0.01263626
913,11.53689433,0.01263625
914,11.54952499,0.01263625
915,11.56215565,0.01263624
916,11.57478631,0.01263623
917,11.58741697,0.01263623
918,11.60004763,0.01263622
919,11.61267829,0.01263622
920,11.62530895,0.01263621
921,11.63793961,0.01263620
922,11.65057027,0.01263620
923,11.66320093,0.01263619
924,11.67583159,0.01263619
925,11.68846225,0.01263618
926,11.70109291,0.01263617
927,11.71372357,0.01263617
928,11.72635423,0.01263616
929,11.73898489,0.01263616
930,11.75161555,0.01263615
931,11.76424621,0.01263614
932,11.77687687,0.01263614
933,11.78950753,0.01263613
934,11.80213819,0.01263613
935,11.81476885,0.01263612
936,11.82739951,0.01263612
937,11.84003017,0.01263611
938,11.85266083,0.01263610
939,11.86529149,0.01263610
940,11.87792215,0.01263609
941,11.89055281,0.01263609
942,11.90318347,0.01263608
943,11.91581413,0.01263608
944,11.92844479,0.01263607
945,11.94107545,0.01263606
946,11.95370611,0.01263606
947,11.96633677,0.01263605
948,11.97896743,0.01263605
949,11.99159809,0.01263604
950,12.00422875,0.01263604
951,12.01685941,0.01263603
952,12.02949007,0.01263602
953,12.04212073,0.01263602
954,12.05475139,0.01263601
955,12.06738205,0.01263601
956,12.08001271,0.01263600
957,12.09264337,0.01263600
958,12.10527403,0.01263599
959,12.11790469,0.01263598
960,12.13053535,0.01263598
961,12.14316601,0.01263597
962,12.15579667,0.01263597
963,12.16842733,0.01263596
964,12.18105799,0.01263596
965,12.19368865,0.01263595
966,12.20631931,0.01263595
967,12.21894997,0.01263594
968,12.23158063,0.01263594
969,12.24421129,0.01263593
970,12.25684195,0.01263592
971,12.26947261,0.01263592
972,12.28210327,0.01263591
973,12.29473393,0.01263591
974,12.30736459,0.01263590
975,12.31999525,0.01263590
976,12.33262591,0.01263589
977,12.34525657,0.01263589
978,12.35788723,0.01263588
979,12.37051789,0.01263588
980,12.38314855,0.01263587
981,12.39577921,0.01263587
982,12.40840987,0.01263586
983,12.42104053,0.01263585
984,12.43367119,0.01263585
