feeperbyte=100
storageprice=10000
executionfeefactor=3
tea=25.00000000
#accounts,int64-totalfee,int64-totalfeeperacc
297,4.36656160,0.01470223
298,4.38124665,0.01470217
299,4.39593170,0.01470212
300,4.41061675,0.01470206
301,4.42530180,0.01470200
302,4.43998685,0.01470195
303,4.45467190,0.01470189
304,4.46935695,0.01470184
305,4.48404200,0.01470178
306,4.49872705,0.01470173
307,4.51341210,0.01470167
308,4.52809715,0.01470162
309,4.54278220,0.01470157
310,4.55746725,0.01470151
311,4.57215230,0.01470146
312,4.58683735,0.01470141
313,4.60152240,0.01470135
314,4.61620745,0.01470130
315,4.63089250,0.01470125
316,4.64557755,0.01470120
317,4.66026260,0.01470115
318,4.67494765,0.01470110
319,4.68963270,0.01470105
320,4.70431775,0.01470100
321,4.71900280,0.01470095
322,4.73368785,0.01470090
323,4.74837290,0.01470085
324,4.76305795,0.01470080
325,4.77774300,0.01470075
326,4.79242805,0.01470070
327,4.80711310,0.01470066
328,4.82179815,0.01470061
329,4.83648320,0.01470056
330,4.85116825,0.01470051
331,4.86585330,0.01470047
332,4.88053835,0.01470042
333,4.89522340,0.01470038
334,4.90990845,0.01470033
335,4.92459350,0.01470028
336,4.93927855,0.01470024
337,4.95396360,0.01470019
338,4.96864865,0.01470015
339,4.98333370,0.01470010
340,4.99801875,0.01470006
341,5.01270380,0.01470002
342,5.02738885,0.01469997
343,5.04207390,0.01469993
344,5.05675895,0.01469989
345,5.07144400,0.01469984
346,5.08612905,0.01469980
347,5.10081410,0.01469976
348,5.11549915,0.01469972
349,5.13018420,0.01469967
350,5.14486925,0.01469963
351,5.15955430,0.01469959
352,5.17423935,0.01469955
353,5.18892440,0.01469951
354,5.20360945,0.01469947
355,5.21829450,0.01469943
356,5.23297955,0.01469939
357,5.24766460,0.01469935
358,5.26234965,0.01469931
359,5.27703470,0.01469927
360,5.29171975,0.01469923
361,5.30640480,0.01469919
362,5.32108985,0.01469915
363,5.33577490,0.01469911
364,5.35045995,0.01469907
365,5.36514500,0.01469903
366,5.37983005,0.01469899
367,5.39451510,0.01469896
368,5.40920015,0.01469892
369,5.42388520,0.01469888
370,5.43857025,0.01469884
371,5.45325530,0.01469881
372,5.46794035,0.01469877
373,5.48262540,0.01469873
374,5.49731045,0.01469870
375,5.51199550,0.01469866
376,5.52668055,0.01469862
377,5.54136560,0.01469859
378,5.55605065,0.01469855
379,5.57073570,0.01469852
380,5.58542075,0.01469848
381,5.60010580,0.01469845
382,5.61479085,0.01469841
383,5.62947590,0.01469838
384,5.64416095,0.01469834
385,5.65884600,0.01469831
386,5.67353105,0.01469827
387,5.68821610,0.01469824
388,5.70290115,0.01469820
389,5.71758620,0.01469817
390,5.73227125,0.01469814
391,5.74695630,0.01469810
392,5.76164135,0.01469807
393,5.77632640,0.01469804
394,5.79101145,0.01469800
395,5.80569650,0.01469797
396,5.82038155,0.01469794
397,5.83506660,0.01469791
398,5.84975165,0.01469787
399,5.86443670,0.01469784
400,5.87912175,0.01469781
401,5.89380680,0.01469778
402,5.90849185,0.01469775
403,5.92317690,0.01469771
404,5.93786195,0.01469768
405,5.95254700,0.01469765
406,5.96723205,0.01469762
407,5.98191710,0.01469759
408,5.99660215,0.01469756
409,6.01128720,0.01469753
410,6.02597225,0.01469750
411,6.04065730,0.01469747
412,6.05534235,0.01469744
413,6.07002740,0.01469741
414,6.08471245,0.01469738
415,6.09939750,0.01469735
416,6.11408255,0.01469732
417,6.12876760,0.01469729
418,6.14345265,0.01469726
419,6.15813770,0.01469723
420,6.17282275,0.01469720
421,6.18750780,0.01469717
422,6.20219285,0.01469714
423,6.21687790,0.01469712
424,6.23156295,0.01469709
425,6.24624800,0.01469706
426,6.26093305,0.01469703
