feeperbyte=100
storageprice=10000
executionfeefactor=3
tea=1.00000000
#accounts,int32-totalfee,int32-totalfeeperacc
360,5.25427975,0.01459523
361,5.26886080,0.01459519
362,5.28344185,0.01459515
363,5.29802290,0.01459511
364,5.31260395,0.01459507
365,5.32718500,0.01459503
366,5.34176605,0.01459499
367,5.35634710,0.01459496
368,5.37092815,0.01459492
369,5.38550920,0.01459488
370,5.40009025,0.01459484
371,5.41467130,0.01459481
372,5.42925235,0.01459477
373,5.44383340,0.01459473
374,5.45841445,0.01459470
375,5.47299550,0.01459466
376,5.48757655,0.01459462
377,5.50215760,0.01459459
378,5.51673865,0.01459455
379,5.53131970,0.01459452
380,5.54590075,0.01459448
381,5.56048180,0.01459445
382,5.57506285,0.01459441
383,5.58964390,0.01459438
384,5.60422495,0.01459434
385,5.61880600,0.01459431
386,5.63338705,0.01459427
387,5.64796810,0.01459424
388,5.66254915,0.01459420
389,5.67713020,0.01459417
390,5.69171125,0.01459414
391,5.70629230,0.01459410
392,5.72087335,0.01459407
393,5.73545440,0.01459404
394,5.75003545,0.01459400
395,5.76461650,0.01459397
396,5.77919755,0.01459394
397,5.79377860,0.01459391
398,5.80835965,0.01459387
399,5.82294070,0.01459384
400,5.83752175,0.01459381
401,5.85210280,0.01459378
402,5.86668385,0.01459375
403,5.88126490,0.01459371
404,5.89584595,0.01459368
405,5.91042700,0.01459365
406,5.92500805,0.01459362
407,5.93958910,0.01459359
408,5.95417015,0.01459356
409,5.96875120,0.01459353
410,5.98333225,0.01459350
411,5.99791330,0.01459347
412,6.01249435,0.01459344
413,6.02707540,0.01459341
414,6.04165645,0.01459338
415,6.05623750,0.01459335
416,6.07081855,0.01459332
417,6.08539960,0.01459329
418,6.09998065,0.01459326
419,6.11456170,0.01459323
420,6.12914275,0.01459320
421,6.14372380,0.01459317
422,6.15830485,0.01459314
423,6.17288590,0.01459312
424,6.18746695,0.01459309
425,6.20204800,0.01459306
426,6.21662905,0.01459303
427,6.23121010,0.01459300
428,6.24579115,0.01459297
429,6.26037220,0.01459295
430,6.27495325,0.01459292
431,6.28953430,0.01459289
432,6.30411535,0.01459286
433,6.31869640,0.01459284
434,6.33327745,0.01459281
435,6.34785850,0.01459278
436,6.36243955,0.01459276
437,6.37702060,0.01459273
438,6.39160165,0.01459270
439,6.40618270,0.01459268
440,6.42076375,0.01459265
441,6.43534480,0.01459262
442,6.44992585,0.01459260
443,6.46450690,0.01459257
444,6.47908795,0.01459255
445,6.49366900,0.01459252
446,6.50825005,0.01459249
447,6.52283110,0.01459247
448,6.53741215,0.01459244
449,6.55199320,0.01459242
450,6.56657425,0.01459239
451,6.58115530,0.01459237
452,6.59573635,0.01459234
453,6.61031740,0.01459232
454,6.62489845,0.01459229
455,6.63947950,0.01459227
456,6.65406055,0.01459224
457,6.66864160,0.01459222
458,6.68322265,0.01459219
459,6.69780370,0.01459217
460,6.71238475,0.01459215
461,6.72696580,0.01459212
462,6.74154685,0.01459210
463,6.75612790,0.01459207
464,6.77070895,0.01459205
465,6.78529000,0.01459203
466,6.79987105,0.01459200
467,6.81445210,0.01459198
468,6.82903315,0.01459196
469,6.84361420,0.01459193
470,6.85819525,0.01459191
471,6.87277630,0.01459189
472,6.88735735,0.01459186
473,6.90193840,0.01459184
474,6.91651945,0.01459182
475,6.93110050,0.01459180
476,6.94568155,0.01459177
477,6.96026260,0.01459175
478,6.97484365,0.01459173
479,6.98942470,0.01459171
480,7.00400575,0.01459168
481,7.01858680,0.01459166
482,7.03316785,0.01459164
483,7.04774890,0.01459162
484,7.06232995,0.01459160
485,7.07691100,0.01459157
486,7.09149205,0.01459155
487,7.10607310,0.01459153
488,7.12065415,0.01459151
489,7.13523520,0.01459149
490,7.14981625,0.01459147
491,7.16439730,0.01459145
492,7.17897835,0.01459142
493,7.19355940,0.01459140
494,7.20814045,0.01459138
495,7.22272150,0.01459136
496,7.23730255,0.01459134
497,7.25188360,0.01459132
498,7.26646465,0.01459130
499,7.28104570,0.01459128
500,7.29562675,0.01459126
501,7.31020780,0.01459124
502,7.32478885,0.01459122
503,7.33936990,0.01459120
504,7.35395095,0.01459118
505,7.36853200,0.01459116
506,7.38311305,0.01459114
507,7.39769410,0.01459112
508,7.41227515,0.01459110
509,7.42685620,0.01459108
510,7.44143725,0.01459106
511,7.45601830,0.01459104
512,7.47059935,0.01459102
513,7.48518040,0.01459100
514,7.49976145,0.01459098
515,7.51434250,0.01459096
516,7.52892355,0.01459094
517,7.54350460,0.01459092
518,7.55808565,0.01459090
519,7.57266670,0.01459088
520,7.58724775,0.01459087
521,7.60182880,0.01459085
522,7.61640985,0.01459083
523,7.63099090,0.01459081
524,7.64557195,0.01459079
525,7.66015300,0.01459077
526,7.67473405,0.01459075
527,7.68931510,0.01459074
528,7.70389615,0.01459072
529,7.71847720,0.01459070
530,7.73305825,0.01459068
531,7.74763930,0.01459066
532,7.76222035,0.01459064
533,7.77680140,0.01459063
534,7.79138245,0.01459061
535,7.80596350,0.01459059
536,7.82054455,0.01459057
537,7.83512560,0.01459056
538,7.84970665,0.01459054
539,7.86428770,0.01459052
540,7.87886875,0.01459050
541,7.89344980,0.01459049
542,7.90803085,0.01459047
543,7.92261190,0.01459045
544,7.93719295,0.01459043
545,7.95177400,0.01459042
546,7.96635505,0.01459040
547,7.98093610,0.01459038
548,7.99551715,0.01459036
549,8.01009820,0.01459035
550,8.02467925,0.01459033
551,8.03926030,0.01459031
552,8.05384135,0.01459030
553,8.06842240,0.01459028
554,8.08300345,0.01459026
555,8.09758450,0.01459025
556,8.11216555,0.01459023
557,8.12674660,0.01459021
558,8.14132765,0.01459020
559,8.15590870,0.01459018
560,8.17048975,0.01459017
561,8.18507080,0.01459015
562,8.19965185,0.01459013
563,8.21423290,0.01459012
564,8.22881395,0.01459010
565,8.24339500,0.01459008
566,8.25797605,0.01459007
567,8.27255710,0.01459005
568,8.28713815,0.01459004
569,8.30171920,0.01459002
570,8.31630025,0.01459001
571,8.33088130,0.01458999
572,8.34546235,0.01458997
573,8.36004340,0.01458996
574,8.37462445,0.01458994
575,8.38920550,0.01458993
576,8.40378655,0.01458991
577,8.41836760,0.01458990
578,8.43294865,0.01458988
579,8.44752970,0.01458987
580,8.46211075,0.01458985
581,8.47669180,0.01458984
582,8.49127285,0.01458982
583,8.50585390,0.01458981
584,8.52043495,0.01458979
585,8.53501600,0.01458978
586,8.54959705,0.01458976
587,8.56417810,0.01458975
588,8.57875915,0.01458973
589,8.59334020,0.01458972
590,8.60792125,0.01458970
591,8.62250230,0.01458969
592,8.63708335,0.01458967
593,8.65166440,0.01458966
594,8.66624545,0.01458964
595,8.68082650,0.01458963
596,8.69540755,0.01458961
597,8.70998860,0.01458960
598,8.72456965,0.01458959
599,8.73915070,0.01458957
600,8.75373175,0.01458956
601,8.76831280,0.01458954
602,8.78289385,0.01458953
603,8.79747490,0.01458952
604,8.81205595,0.01458950
605,8.82663700,0.01458949
606,8.84121805,0.01458947
607,8.85579910,0.01458946
608,8.87038015,0.01458945
609,8.88496120,0.01458943
610,8.89954225,0.01458942
611,8.91412330,0.01458940
612,8.92870435,0.01458939
613,8.94328540,0.01458938
614,8.95786645,0.01458936
615,8.97244750,0.01458935
616,8.98702855,0.01458934
617,9.00160960,0.01458932
618,9.01619065,0.01458931
619,9.03077170,0.01458930
620,9.04535275,0.01458928
621,9.05993380,0.01458927
622,9.07451485,0.01458926
623,9.08909590,0.01458924
624,9.10367695,0.01458923
625,9.11825800,0.01458922
626,9.13283905,0.01458920
627,9.14742010,0.01458919
628,9.16200115,0.01458918
629,9.17658220,0.01458917
630,9.19116325,0.01458915
631,9.20574430,0.01458914
632,9.22032535,0.01458913
633,9.23490640,0.01458911
634,9.24948745,0.01458910
635,9.26406850,0.01458909
636,9.27864955,0.01458908
637,9.29323060,0.01458906
638,9.30781165,0.01458905
639,9.32239270,0.01458904
640,9.33697375,0.01458903
641,9.35155480,0.01458901
642,9.36613585,0.01458900
643,9.38071690,0.01458899
644,9.39529795,0.01458898
645,9.40987900,0.01458896
646,9.42446005,0.01458895
647,9.43904110,0.01458894
648,9.45362215,0.01458893
649,9.46820320,0.01458892
650,9.48278425,0.01458890
651,9.49736530,0.01458889
652,9.51194635,0.01458888
653,9.52652740,0.01458887
654,9.54110845,0.01458886
655,9.55568950,0.01458884
656,9.57027055,0.01458883
657,9.58485160,0.01458882
658,9.59943265,0.01458881
659,9.61401370,0.01458880
660,9.62859475,0.01458878
661,9.64317580,0.01458877
662,9.65775685,0.01458876
663,9.67233790,0.01458875
664,9.68691895,0.01458874
665,9.70150000,0.01458873
666,9.71608105,0.01458872
667,9.73066210,0.01458870
668,9.74524315,0.01458869
669,9.75982420,0.01458868
670,9.77440525,0.01458867
671,9.78898630,0.01458866
672,9.80356735,0.01458865
673,9.81814840,0.01458864
674,9.83272945,0.01458862
675,9.84731050,0.01458861
676,9.86189155,0.01458860
677,9.87647260,0.01458859
678,9.89105365,0.01458858
679,9.90563470,0.01458857
680,9.92021575,0.01458856
681,9.93479680,0.01458855
682,9.94937785,0.01458854
683,9.96395890,0.01458852
684,9.97853995,0.01458851
685,9.99312100,0.01458850
686,10.00770205,0.01458849
687,10.02228310,0.01458848
688,10.03686415,0.01458847
689,10.05144520,0.01458846
690,10.06602625,0.01458845
691,10.08060730,0.01458844
692,10.09518835,0.01458843
693,10.10976940,0.01458842
694,10.12435045,0.01458841
695,10.13893150,0.01458840
696,10.15351255,0.01458839
697,10.16809360,0.01458837
698,10.18267465,0.01458836
699,10.19725570,0.01458835
700,10.21183675,0.01458834
701,10.22641780,0.01458833
702,10.24099885,0.01458832
703,10.25557990,0.01458831
704,10.27016095,0.01458830
705,10.28474200,0.01458829
706,10.29932305,0.01458828
707,10.31390410,0.01458827
708,10.32848515,0.01458826
709,10.34306620,0.01458825
710,10.35764725,0.01458824
711,10.37222830,0.01458823
712,10.38680935,0.01458822
713,10.40139040,0.01458821
714,10.41597145,0.01458820
715,10.43055250,0.01458819
716,10.44513355,0.01458818
717,10.45971460,0.01458817
718,10.47429565,0.01458816
719,10.48887670,0.01458815
720,10.50345775,0.01458814
721,10.51803880,0.01458813
722,10.53261985,0.01458812
723,10.54720090,0.01458811
724,10.56178195,0.01458810
725,10.57636300,0.01458809
726,10.59094405,0.01458808
727,10.60552510,0.01458807
728,10.62010615,0.01458806
729,10.63468720,0.01458805
730,10.64926825,0.01458804
731,10.66384930,0.01458803
732,10.67843035,0.01458802
733,10.69301140,0.01458802
734,10.70759245,0.01458801
735,10.72217350,0.01458800
736,10.73675455,0.01458799
737,10.75133560,0.01458798
738,10.76591665,0.01458797
739,10.78049770,0.01458796
740,10.79507875,0.01458795
741,10.80965980,0.01458794
742,10.82424085,0.01458793
743,10.83882190,0.01458792
744,10.85340295,0.01458791
745,10.86798400,0.01458790
746,10.88256505,0.01458789
747,10.89714610,0.01458788
748,10.91172715,0.01458788
749,10.92630820,0.01458787
750,10.94088925,0.01458786
751,10.95547030,0.01458785
752,10.97005135,0.01458784
753,10.98463240,0.01458783
754,10.99921345,0.01458782
755,11.01379450,0.01458781
756,11.02837555,0.01458780
757,11.04295660,0.01458779
758,11.05753765,0.01458779
759,11.07211870,0.01458778
760,11.08669975,0.01458777
761,11.10128080,0.01458776
762,11.11586185,0.01458775
763,11.13044290,0.01458774
764,11.14502395,0.01458773
765,11.15960500,0.01458772
766,11.17418605,0.01458772
767,11.18876710,0.01458771
768,11.20334815,0.01458770
769,11.21792920,0.01458769
770,11.23251025,0.01458768
771,11.24709130,0.01458767
772,11.26167235,0.01458766
773,11.27625340,0.01458765
774,11.29083445,0.01458765
775,11.30541550,0.01458764
776,11.31999655,0.01458763
777,11.33457760,0.01458762
778,11.34915865,0.01458761
779,11.36373970,0.01458760
780,11.37832075,0.01458760
781,11.39290180,0.01458759
782,11.40748285,0.01458758
783,11.42206390,0.01458757
784,11.43664495,0.01458756
785,11.45122600,0.01458755
786,11.46580705,0.01458755
787,11.48038810,0.01458754
788,11.49496915,0.01458753
789,11.50955020,0.01458752
790,11.52413125,0.01458751
791,11.53871230,0.01458750
792,11.55329335,0.01458750
793,11.56787440,0.01458749
794,11.58245545,0.01458748
795,11.59703650,0.01458747
796,11.61161755,0.01458746
797,11.62619860,0.01458746
798,11.64077965,0.01458745
799,11.65536070,0.01458744
800,11.66994175,0.01458743
801,11.68452280,0.01458742
802,11.69910385,0.01458742
803,11.71368490,0.01458741
804,11.72826595,0.01458740
805,11.74284700,0.01458739
806,11.75742805,0.01458738
807,11.77200910,0.01458738
808,11.78659015,0.01458737
809,11.80117120,0.01458736
810,11.81575225,0.01458735
811,11.83033330,0.01458735
812,11.84491435,0.01458734
813,11.85949540,0.01458733
814,11.87407645,0.01458732
815,11.88865750,0.01458731
816,11.90323855,0.01458731
817,11.91781960,0.01458730
818,11.93240065,0.01458729
819,11.94698170,0.01458728
820,11.96156275,0.01458728
821,11.97614380,0.01458727
822,11.99072485,0.01458726
823,12.00530590,0.01458725
824,12.01988695,0.01458725
825,12.03446800,0.01458724
826,12.04904905,0.01458723
827,12.06363010,0.01458722
828,12.07821115,0.01458722
829,12.09279220,0.01458721
830,12.10737325,0.01458720
831,12.12195430,0.01458719
832,12.13653535,0.01458719
833,12.15111640,0.01458718
834,12.16569745,0.01458717
