#accounts,total,perAccount,total-preset,perAccount-preset
327,19134631,58516,5370929,16425
328,19192798,58515,5387194,16425
329,19250906,58514,5403605,16425
330,19309013,58513,5420039,16425
331,19367084,58511,5436329,16424
332,19425120,58510,5452654,16424
333,19483228,58509,5468848,16423
334,19541227,58507,5485391,16424
335,19599334,58506,5501741,16424
336,19657454,58505,5517945,16423
337,19715430,58503,5534332,16423
338,19773633,58502,5550767,16423
339,19831692,58501,5567080,16423
340,19889836,58500,5583370,16422
341,19947800,58498,5599708,16422
342,20005919,58497,5616058,16422
343,20063967,58496,5632530,16422
344,20122086,58495,5648746,16421
345,20180171,58494,5665315,16422
346,20238206,58492,5681435,16421
347,20296326,58491,5697882,16421
348,20354338,58490,5714256,16421
349,20412434,58489,5730643,16421
350,20470505,58488,5747005,16421
351,20528697,58487,5763368,16420
352,20586792,58486,5779669,16420
353,20644876,58485,5795972,16420
354,20702840,58483,5812358,16420
355,20760876,58482,5828551,16419
356,20819115,58481,5845119,16419
357,20877199,58480,5861385,16419
358,20935212,58479,5877687,16419
359,20993247,58478,5894061,16418
360,21051343,58476,5910400,16418
361,21109547,58476,5926883,16418
362,21167523,58474,5943136,16418
363,21225571,58473,5959463,16418
364,21283775,58472,5975874,16418
365,21341787,58471,5992213,16418
366,21399990,58470,6008575,16417
367,21458026,58469,6024925,16417
368,21516099,58468,6041191,16417
369,21574290,58467,6057511,16417
370,21632302,58466,6073666,16416
371,21690374,58465,6089870,16415
372,21748351,58464,6106039,16415
373,21806411,58463,6122291,16414
374,21864483,58462,6138435,16413
375,21922520,58461,6154676,16413
376,21980724,58460,6170880,16412
377,22038772,58459,6186892,16411
378,22096880,58458,6203348,16411
379,22154964,58457,6219325,16410
380,22213084,58456,6235565,16410
381,22271216,58455,6251782,16409
382,22329205,58454,6267950,16409
383,22387289,58453,6284094,16408
384,22445397,58452,6300454,16408
385,22503541,58451,6316599,16407
386,22561673,58450,6332731,16407
387,22619650,58449,6348852,16406
388,22677710,58448,6365068,16405
389,22735818,58447,6381344,16405
390,22793951,58447,6397452,16404
391,22851963,58445,6413717,16404
392,22910023,58444,6429873,16403
393,22968168,58444,6446078,16403
394,23026324,58443,6462163,16402
395,23084337,58442,6478463,16402
396,23142421,58441,6494619,16401
397,23200590,58440,6510872,16401
398,23258519,58439,6527029,16400
399,23316722,58438,6543341,16400
400,23374699,58437,6559437,16399
401,23432916,58437,6575511,16398
402,23490964,58436,6591895,16398
403,23549024,58435,6607908,16397
404,23607038,58434,6624065,16397
405,23690012,58494,6640425,16397
406,23747917,58493,6656581,16396
407,23805833,58491,6672763,16395
408,23863559,58490,6688979,16395
409,23921440,58488,6705160,16395
410,23979189,58486,6721317,16394
411,24036987,58485,6737318,16393
412,24094987,58483,6753750,16393
413,24152725,58482,6769908,16393
414,24210724,58481,6786136,16392
415,24268558,58479,6802257,16391
416,24326462,58478,6818390,16391
417,24384129,58476,6834667,16391
418,24442152,58475,6850799,16390
419,24499855,58473,6866897,16389
420,24557795,58471,6883233,16389
421,24615807,58470,6899450,16389
422,24673569,58469,6915643,16388
423,24731461,58467,6931728,16388
424,24789199,58466,6948029,16387
425,24847116,58464,6964162,16387
