tea,systemfee,networkfee
5630000000,2116747,127852
5640000000,2116747,127852
5650000000,2116747,127852
5660000000,2116747,127852
5670000000,2116747,127852
5680000000,2116747,127852
5690000000,2116747,127852
5700000000,2116747,127852
5710000000,2116747,127852
5720000000,2116747,127852
5730000000,2116747,127852
5740000000,2116747,127852
5750000000,2116747,127852
5760000000,2116747,127852
5770000000,2116747,127852
5780000000,2116747,127852
5790000000,2116747,127852
5800000000,2116747,127852
5810000000,2116747,127852
5820000000,2116747,127852
5830000000,2116747,127852
5840000000,2116747,127852
5850000000,2116747,127852
5860000000,2116747,127852
5870000000,2116747,127852
5880000000,2116747,127852
5890000000,2116747,127852
5900000000,2116747,127852
5910000000,2116747,127852
5920000000,2116747,127852
5930000000,2116747,127852
5940000000,2116747,127852
5950000000,2116747,127852
5960000000,2116747,127852
5970000000,2116747,127852
5980000000,2116747,127852
5990000000,2116747,127852
6000000000,2116747,127852
6010000000,2116747,127852
6020000000,2116747,127852
6030000000,2116747,127852
6040000000,2116747,127852
6050000000,2116747,127852
6060000000,2116747,127852
6070000000,2116747,127852
6080000000,2116747,127852
6090000000,2116747,127852
6100000000,2116747,127852
6110000000,2116747,127852
6120000000,2116747,127852
6130000000,2116747,127852
6140000000,2116747,127852
6150000000,2116747,127852
6160000000,2116747,127852
6170000000,2116747,127852
6180000000,2116747,127852
6190000000,2116747,127852
6200000000,2116747,127852
6210000000,2116747,127852
6220000000,2116747,127852
6230000000,2116747,127852
6240000000,2116747,127852
6250000000,2116747,127852
6260000000,2116747,127852
6270000000,2116747,127852
6280000000,2116747,127852
6290000000,2116747,127852
6300000000,2116747,127852
6310000000,2116747,127852
6320000000,2116747,127852
6330000000,2116747,127852
6340000000,2116747,127852
6350000000,2116747,127852
6360000000,2116747,127852
6370000000,2116747,127852
6380000000,2116747,127852
6390000000,2116747,127852
6400000000,2116747,127852
6410000000,2116747,127852
6420000000,2116747,127852
6430000000,2116747,127852
6440000000,2116747,127852
6450000000,2116747,127852
6460000000,2116747,127852
6470000000,2116747,127852
6480000000,2116747,127852
6490000000,2116747,127852
6500000000,2116747,127852
6510000000,2116747,127852
6520000000,2116747,127852
6530000000,2116747,127852
6540000000,2116747,127852
6550000000,2116747,127852
6560000000,2116747,127852
6570000000,2116747,127852
6580000000,2116747,127852
6590000000,2116747,127852
6600000000,2116747,127852
6610000000,2116747,127852
6620000000,2116747,127852
6630000000,2116747,127852
6640000000,2116747,127852
6650000000,2116747,127852
6660000000,2116747,127852
6670000000,2116747,127852
6680000000,2116747,127852
6690000000,2116747,127852
6700000000,2116747,127852
6710000000,2116747,127852
6720000000,2116747,127852
6730000000,2116747,127852
6740000000,2116747,127852
6750000000,2116747,127852
6760000000,2116747,127852
6770000000,2116747,127852
6780000000,2116747,127852
6790000000,2116747,127852
6800000000,2116747,127852
6810000000,2116747,127852
6820000000,2116747,127852
6830000000,2116747,127852
6840000000,2116747,127852
6850000000,2116747,127852
6860000000,2116747,127852
6870000000,2116747,127852
6880000000,2116747,127852
6890000000,2116747,127852
6900000000,2116747,127852
6910000000,2116747,127852
6920000000,2116747,127852
6930000000,2116747,127852
6940000000,2116747,127852
6950000000,2116747,127852
6960000000,2116747,127852
6970000000,2116747,127852
6980000000,2116747,127852
6990000000,2116747,127852
7000000000,2116747,127852
7010000000,2116747,127852
7020000000,2116747,127852
7030000000,2116747,127852
7040000000,2116747,127852
7050000000,2116747,127852
7060000000,2116747,127852
7070000000,2116747,127852
7080000000,2116747,127852
7090000000,2116747,127852
7100000000,2116747,127852
7110000000,2116747,127852
7120000000,2116747,127852
7130000000,2116747,127852
7140000000,2116747,127852
7150000000,2116747,127852
7160000000,2116747,127852
7170000000,2116747,127852
7180000000,2116747,127852
7190000000,2116747,127852
7200000000,2116747,127852
7210000000,2116747,127852
7220000000,2116747,127852
7230000000,2116747,127852
7240000000,2116747,127852
7250000000,2116747,127852
7260000000,2116747,127852
7270000000,2116747,127852
7280000000,2116747,127852
7290000000,2116747,127852
7300000000,2116747,127852
7310000000,2116747,127852
7320000000,2116747,127852
7330000000,2116747,127852
7340000000,2116747,127852
7350000000,2116747,127852
