feeperbyte=100
storageprice=10000
executionfeefactor=3
tea=1.00000000
#accounts,systemfee,networkfee,totalfee,sysfeeperacc,netfeeperacc,totalfeeperacc
224,3.26401443,0.00724252,3.27125695,0.01457150,0.00003234,0.01460383
225,3.27856848,0.00726952,3.28583800,0.01457142,0.00003231,0.01460373
226,3.29312253,0.00729652,3.30041905,0.01457134,0.00003229,0.01460363
227,3.30767658,0.00732352,3.31500010,0.01457127,0.00003227,0.01460353
228,3.32223063,0.00735052,3.32958115,0.01457119,0.00003224,0.01460343
229,3.33678468,0.00737752,3.34416220,0.01457112,0.00003222,0.01460333
230,3.35133873,0.00740452,3.35874325,0.01457104,0.00003220,0.01460324
231,3.36589278,0.00743152,3.37332430,0.01457097,0.00003218,0.01460314
232,3.38044683,0.00745852,3.38790535,0.01457090,0.00003215,0.01460305
233,3.39500088,0.00748552,3.40248640,0.01457082,0.00003213,0.01460295
234,3.40955493,0.00751252,3.41706745,0.01457075,0.00003211,0.01460286
235,3.42410898,0.00753952,3.43164850,0.01457068,0.00003209,0.01460276
236,3.43866303,0.00756652,3.44622955,0.01457061,0.00003207,0.01460267
237,3.45321708,0.00759352,3.46081060,0.01457054,0.00003205,0.01460258
238,3.46777113,0.00762052,3.47539165,0.01457047,0.00003202,0.01460249
239,3.48232518,0.00764752,3.48997270,0.01457040,0.00003200,0.01460240
240,3.49687923,0.00767452,3.50455375,0.01457034,0.00003198,0.01460231
241,3.51143328,0.00770152,3.51913480,0.01457027,0.00003196,0.01460222
242,3.52598733,0.00772852,3.53371585,0.01457020,0.00003194,0.01460214
243,3.54054138,0.00775552,3.54829690,0.01457013,0.00003192,0.01460205
244,3.55509543,0.00778252,3.56287795,0.01457007,0.00003190,0.01460196
245,3.56964948,0.00780952,3.57745900,0.01457000,0.00003188,0.01460188
246,3.58420353,0.00783652,3.59204005,0.01456994,0.00003186,0.01460179
247,3.59875758,0.00786352,3.60662110,0.01456987,0.00003184,0.01460171
248,3.61331163,0.00789052,3.62120215,0.01456981,0.00003182,0.01460163
249,3.62786568,0.00791752,3.63578320,0.01456975,0.00003180,0.01460154
250,3.64241973,0.00794452,3.65036425,0.01456968,0.00003178,0.01460146
251,3.65697378,0.00797152,3.66494530,0.01456962,0.00003176,0.01460138
252,3.67152783,0.00799852,3.67952635,0.01456956,0.00003175,0.01460130
253,3.68608188,0.00802552,3.69410740,0.01456950,0.00003173,0.01460122
254,3.70063593,0.00805252,3.70868845,0.01456944,0.00003171,0.01460114
255,3.71518998,0.00807952,3.72326950,0.01456938,0.00003169,0.01460106
256,3.72974403,0.00810652,3.73785055,0.01456932,0.00003167,0.01460098
257,3.74429808,0.00813352,3.75243160,0.01456926,0.00003165,0.01460091
258,3.75885213,0.00816052,3.76701265,0.01456920,0.00003163,0.01460083
259,3.77340618,0.00818752,3.78159370,0.01456914,0.00003162,0.01460075
260,3.78796023,0.00821452,3.79617475,0.01456908,0.00003160,0.01460068
261,3.80251428,0.00824152,3.81075580,0.01456903,0.00003158,0.01460060
262,3.81706833,0.00826852,3.82533685,0.01456897,0.00003156,0.01460053
263,3.83162238,0.00829552,3.83991790,0.01456891,0.00003155,0.01460045
264,3.84617643,0.00832252,3.85449895,0.01456886,0.00003153,0.01460038
265,3.86073048,0.00834952,3.86908000,0.01456880,0.00003151,0.01460031
266,3.87528453,0.00837652,3.88366105,0.01456874,0.00003150,0.01460023
267,3.88983858,0.00840352,3.89824210,0.01456869,0.00003148,0.01460016
268,3.90439263,0.00843052,3.91282315,0.01456863,0.00003146,0.01460009
269,3.91894668,0.00845752,3.92740420,0.01456858,0.00003145,0.01460002
270,3.93350073,0.00848452,3.94198525,0.01456853,0.00003143,0.01459995
271,3.94805478,0.00851152,3.95656630,0.01456847,0.00003141,0.01459988
272,3.96260883,0.00853852,3.97114735,0.01456842,0.00003140,0.01459981
273,3.97716288,0.00856552,3.98572840,0.01456837,0.00003138,0.01459974
274,3.99171693,0.00859252,4.00030945,0.01456831,0.00003136,0.01459967
275,4.00627098,0.00861952,4.01489050,0.01456826,0.00003135,0.01459961
276,4.02082503,0.00864652,4.02947155,0.01456821,0.00003133,0.01459954
277,4.03537908,0.00867352,4.04405260,0.01456816,0.00003132,0.01459947
278,4.04993313,0.00870052,4.05863365,0.01456811,0.00003130,0.01459941
279,4.06448718,0.00872752,4.07321470,0.01456806,0.00003129,0.01459934
280,4.07904123,0.00875452,4.08779575,0.01456801,0.00003127,0.01459928
281,4.09359528,0.00878152,4.10237680,0.01456796,0.00003126,0.01459921
282,4.10814933,0.00880852,4.11695785,0.01456791,0.00003124,0.01459915
283,4.12270338,0.00883552,4.13153890,0.01456786,0.00003123,0.01459908
284,4.13725743,0.00886252,4.14611995,0.01456781,0.00003121,0.01459902
285,4.15181148,0.00888952,4.16070100,0.01456776,0.00003120,0.01459896
286,4.16636553,0.00891652,4.17528205,0.01456772,0.00003118,0.01459889
287,4.18091958,0.00894352,4.18986310,0.01456767,0.00003117,0.01459883
288,4.19547363,0.00897052,4.20444415,0.01456762,0.00003115,0.01459877
289,4.21002768,0.00899752,4.21902520,0.01456757,0.00003114,0.01459871
290,4.22458173,0.00902452,4.23360625,0.01456753,0.00003112,0.01459865
291,4.23913578,0.00905152,4.24818730,0.01456748,0.00003111,0.01459859
292,4.25368983,0.00907852,4.26276835,0.01456744,0.00003110,0.01459853
293,4.26824388,0.00910552,4.27734940,0.01456739,0.00003108,0.01459847
294,4.28279793,0.00913252,4.29193045,0.01456734,0.00003107,0.01459841
295,4.29735198,0.00915952,4.30651150,0.01456730,0.00003105,0.01459835
296,4.31190603,0.00918652,4.32109255,0.01456726,0.00003104,0.01459829
297,4.32646008,0.00921352,4.33567360,0.01456721,0.00003103,0.01459823
298,4.34101413,0.00924052,4.35025465,0.01456717,0.00003101,0.01459817
299,4.35556818,0.00926752,4.36483570,0.01456712,0.00003100,0.01459812
300,4.37012223,0.00929452,4.37941675,0.01456708,0.00003099,0.01459806
301,4.38467628,0.00932152,4.39399780,0.01456704,0.00003097,0.01459800
302,4.39923033,0.00934852,4.40857885,0.01456699,0.00003096,0.01459795
303,4.41378438,0.00937552,4.42315990,0.01456695,0.00003095,0.01459789
304,4.42833843,0.00940252,4.43774095,0.01456691,0.00003093,0.01459784
305,4.44289248,0.00942952,4.45232200,0.01456687,0.00003092,0.01459778
306,4.45744653,0.00945652,4.46690305,0.01456682,0.00003091,0.01459773
307,4.47200058,0.00948352,4.48148410,0.01456678,0.00003090,0.01459767
308,4.48655463,0.00951052,4.49606515,0.01456674,0.00003088,0.01459762
309,4.50110868,0.00953752,4.51064620,0.01456670,0.00003087,0.01459757
310,4.51566273,0.00956452,4.52522725,0.01456666,0.00003086,0.01459751
311,4.53021678,0.00959152,4.53980830,0.01456662,0.00003085,0.01459746
312,4.54477083,0.00961852,4.55438935,0.01456658,0.00003083,0.01459741
313,4.55932488,0.00964552,4.56897040,0.01456654,0.00003082,0.01459735
314,4.57387893,0.00967252,4.58355145,0.01456650,0.00003081,0.01459730
315,4.58843298,0.00969952,4.59813250,0.01456646,0.00003080,0.01459725
316,4.60298703,0.00972652,4.61271355,0.01456642,0.00003079,0.01459720
317,4.61754108,0.00975352,4.62729460,0.01456638,0.00003077,0.01459715
318,4.63209513,0.00978052,4.64187565,0.01456634,0.00003076,0.01459710
319,4.64664918,0.00980752,4.65645670,0.01456630,0.00003075,0.01459705
320,4.66120323,0.00983452,4.67103775,0.01456627,0.00003074,0.01459700
321,4.67575728,0.00986152,4.68561880,0.01456623,0.00003073,0.01459695
322,4.69031133,0.00988852,4.70019985,0.01456619,0.00003071,0.01459690
323,4.70486538,0.00991552,4.71478090,0.01456615,0.00003070,0.01459685
324,4.71941943,0.00994252,4.72936195,0.01456611,0.00003069,0.01459680
325,4.73397348,0.00996952,4.74394300,0.01456608,0.00003068,0.01459675
326,4.74852753,0.00999652,4.75852405,0.01456604,0.00003067,0.01459670
327,4.76308158,0.01002352,4.77310510,0.01456600,0.00003066,0.01459666
